"","","","2009-10 ","2010-11 ","2011-12 ","2012-13 ","2013-14 ","2014-15 ","2015-16 ","2016-17 ","2017-18 ","2018-19 ","2019-20 (4)"
"Total ","","",5230830.076974,5355032.404966,5389459.054291,5427472.460518,5560110.7298,5802109.506433,6117680.8294,6381461.870523,6534940.178238,6802830.95,7276543.027105
"Total ","Blood disorders ","Blood disorders ",48638.606667,45470.623536,40953.918741,41054.325101,47082.894342,49489.546313,55027.70652,56726.557222,63706.377049,70289.21283,83312.787687
"","Cancers & tumours ","Cancers & tumours ",352292.652118,347081.885089,356754.684781,360932.497257,380112.515663,409398.338544,437341.428552,452835.276038,463181.268882,496927.0192,535943.481016
"","Circulation problems ","",459837.021243,464444.956424,453723.745376,442289.225674,431297.588943,445582.46013,456145.961074,468933.654621,482332.112718,504113.6312,553099.00965
"","Circulation problems ","Coronary Heart Disease ",180115.73984,170237.379427,162256.751594,128444.08455,116345.759316,114570.175015,105700.276776,112937.443084,104550.108364,101073.0442,102244.339886
"","","Cerebrovascular disease ",73134.655305,71850.99114,75272.970572,80448.74298,81735.49295,83862.354405,84992.805109,86197.237252,87731.31978,90306.00242,97537.639203
"","","Other problems of circulation (1)",206587.360715,222356.585857,216194.02321,233395.678585,233216.336678,247149.93071,265452.879188,269798.974285,290050.684574,312734.5846,353317.030561
"","Dental problems ","Dental problems ",187870.251666,188349.556401,184004.693154,186718.433754,182118.421241,184104.132,200385.149309,199040.83999,198929.513374,201704.8089,211589.536552
"","Endocrine, nutritional & metabolic problems ","",165598.399658,178041.572981,180530.678692,195207.894101,205463.829938,215734.129605,222627.537339,239654.538319,250231.890741,269317.9475,288730.211012
"","Endocrine, nutritional & metabolic problems ","Diabetes ",75954.558198,84466.293353,86277.111859,89807.265123,95235.633477,98401.229263,103302.463172,111306.325144,116313.113318,126307.4749,139940.107175
"","","Other endocrine, nutritional and metabolic problems ",89643.841459,93575.279628,94253.566833,105400.834623,110228.196461,117332.900341,144831.634515,128348.213176,133918.777423,143010.4726,148790.103837
"","Eye/vision problems ","Eye/vision problems ",113431.266008,119226.000833,122642.801802,119408.29313,124020.070133,134912.833402,142052.566676,161637.25565,171647.102585,183092.7414,191726.652378
"","Gastro intestinal problems ","Gastro intestinal problems ",299618.006087,304548.280756,314411.75886,302966.596727,314925.192609,339304.286027,365453.45325,386886.390591,372810.251154,403249.648,439749.87865
"","Genito Urinary system disorders (exc infertility) ","",232446.352355,258222.897254,262804.566007,269825.806219,277401.772957,293973.037971,318100.407406,322324.675518,304541.539084,319448.7899,329678.733716
"","Genito Urinary system disorders (exc infertility) ","Genital tract problems ",104889.48663,108831.32766,110872.265094,61406.625381,60144.585969,59623.410271,66252.001063,66975.096227,70817.37242,69814.43765,73744.851024
"","","Renal problems ",17656.155899,27076.096811,20869.181862,72722.827874,80858.721121,86437.643752,92346.897711,102584.594108,101867.463042,108667.8387,116352.101242
"","","Chronic renal failure (2)",35285.515633,35102.946393,39392.697618,0,0,0,0,0,0,0,0
