"","","","2013-14 ","2014-15 ","2015-16 ","2016-17 ","2017-18 ","2018-19 ","2019-20 (4)","2020-21 ","","","","2021-22 ","","","","2022-23 ","","",""
"","","",".",".",".",".",".",".",".","LHB and PHW total ",".",".","LHB and PHW total ","LHB and PHW total ",".",".","LHB and PHW total ","LHB and PHW total ",".",".","LHB and PHW total "
"","","",".",".",".",".",".",".",".","LHB primary ","LHB secondary ","LHB and PHW other ",".","LHB primary ","LHB secondary ","LHB and PHW other ",".","LHB primary ","LHB secondary ","LHB and PHW other ","."
"Total ","","",1031905.051746,1068574.87033,1126972.962668,1166111.23481,1201399.640458,1252999.247,1339095.86341,328837.002355,1165489.224812,34098.432132,1528424.659299,367490.26785,1238043.380439,42040.60581,1647574.2541,324112.6824,1358704.161837,35806.678172,1718623.522408
"Total ","Infectious diseases ","Infectious diseases ",13074.80094,13130.422268,13983.719473,13687.113212,20301.731285,19078.57571,20578.908107,6555.537646,76029.075545,15047.856656,97632.469848,6418.332142,55734.479218,15347.442901,77500.254262,5127.830859,41262.620245,3579.157081,49969.608185
"","Cancers & tumours ","Cancers & tumours ",62257.132547,66723.751296,69626.774084,74652.67353,77318.25721,83094.40699,90366.767076,4464.628456,98820.662816,0,103285.291272,4671.640437,106328.115918,0,110999.756355,4057.000002,122894.538522,0,126951.538524
"","Blood disorders ","Blood disorders ",7568.904676,7635.584845,8882.275466,8733.639311,9616.789846,11751.57194,13367.513998,1074.544314,14242.413478,0,15316.957792,1135.838385,13586.882352,0,14722.720737,1065.660945,13052.753738,0,14118.414683
"","Endocrine, nutritional & metabolic problems ","",37048.715472,39169.418281,41130.40973,43927.81346,47966.188238,49794.52766,52526.67686,37434.166414,24852.130885,0,62286.297299,42213.88964,28880.78216,0,71094.671799,40325.160601,33107.364245,0,73432.524846
"","Endocrine, nutritional & metabolic problems ","Diabetes ",18294.498652,18236.313528,18655.516838,20378.555803,21206.786862,22674.61141,23872.631965,21975.724395,5166.463433,0,27142.187828,25186.990494,4511.691528,0,29698.682023,23897.350544,5278.05436,0,29175.404905
"","","Other endocrine, nutritional and metabolic problems ",18754.216821,20933.104753,26980.054246,23549.257657,26759.401376,27119.91626,28654.044894,15458.442019,19685.667451,0,35144.109471,17026.899146,24369.090631,0,41395.989777,16427.810057,27829.309884,0,44257.119941
"","Mental health problems ","",107263.56712,111584.278424,117196.904466,113101.539525,123539.041371,127898.1124,138374.737667,13536.909766,138308.688231,0,151845.597997,12113.100109,145639.3027,0,157752.402809,10847.102559,160661.165314,0,171508.267873
"","Mental health problems ","General mental illness ",45820.807618,41401.917245,43447.545788,38228.978281,54194.48858,57751.32506,60228.020398,1006.128715,70159.427618,0,71165.556333,1462.003254,72945.286515,0,74407.289769,1145.714984,78212.021037,0,79357.736021
"","","Elderly mental illness ",29609.61102,35930.604559,39925.808495,41371.358816,41123.390874,41868.96358,45326.455301,758,45340.891034,0,46098.891034,1034.715117,45899.762241,0,46934.477358,766.02021,49274.869228,0,50040.889438
"","","Child & adolescent mental health services ",8655.742197,8346.345647,7242.537409,7911.719038,8416.616274,8961.597342,13664.676379,463.815187,12122.663038,0,12586.478225,518.285688,13724.94192,0,14243.227608,517.484465,18170.734888,0,18688.219353
"","","Other mental health problems ",23177.406285,25905.410973,26581.012774,25589.483389,19804.545644,19316.22643,19155.585589,11308.965864,10685.70654,0,21994.672405,9098.09605,13069.312023,0,22167.408074,8417.882901,15003.540161,0,23421.423061
"","Learning disability problems ","Learning disability problems ",24713.134826,24059.636024,27004.777184,29260.675256,34202.110468,35140.18877,34504.02355,122.120967,42630.212718,0,42752.333686,99.281995,36934.961,0,37034.242995,128.195246,41218.040812,0,41346.236058
"","Neurological system problems ","Neurological system problems ",52102.464773,51852.072487,62498.325342,54289.448505,50359.442162,51639.69657,51921.582685,11569.240092,55185.729006,0,66754.969097,12191.716547,53344.217443,0,65535.933991,11066.999701,58150.466567,0,69217.466269
"","Eye/vision problems ","Eye/vision problems ",22232.784572,25045.773046,25867.475433,30580.831596,32924.208983,32169.80225,34794.587899,12229.420327,18039.216908,0,30268.637234,13867.198625,19544.306083,0,33411.504708,11863.169674,24021.27266,0,35884.442334
"","Hearing problems ","Hearing problems ",4114.571536,4263.909699,4494.057117,4398.565472,5040.770734,5051.458265,5508.08508,133.83843,4402.049077,0,4535.887508,147.714729,6730.942485,0,6878.657214,140.113965,6241.805111,0,6381.919077
"","Circulation problems ","",79368.09124,81008.854802,80149.376639,82674.991488,85414.127439,86446.95603,93209.614821,24115.031993,91747.955744,0,115862.987737,27054.739494,89752.220547,0,116806.960041,24923.207952,97535.199598,0,122458.407551
"","Circulation problems ","Coronary Heart Disease ",22528.761402,21250.857871,20638.521672,19934.283533,18671.522867,17184.1506,16913.142796,5054.493301,15241.635794,0,20296.129095,5456.877842,15295.059625,0,20751.937467,4619.450721,12721.725501,0,17341.176221
"","","Cerebrovascular disease ",10781.941522,11283.850203,12477.76376,12690.262951,12358.087564,13541.46056,14177.618155,357.153634,20402.847102,0,20760.000735,698.701209,17017.916261,0,17716.61747,496.263867,20340.994913,0,20837.25878
"","","Other problems of circulation (1)",46057.388317,48474.146729,47033.091207,50050.445005,54384.517008,55721.34486,62118.853869,18703.385058,56103.472848,0,74806.857906,20899.160442,57439.244661,0,78338.405103,19807.493364,64472.479185,0,84279.972549
"","Respiratory problems ","Respiratory problems ",68996.247906,70514.239866,75363.620423,76684.663451,74195.181798,76758.26778,82590.681889,24256.436991,54732.775448,0,78989.212438,25877.482531,56136.138219,0,82013.62075,23936.901759,65653.433058,0,89590.334816
"","Dental problems ","Dental problems ",31640.873647,37795.525247,39948.445623,42176.950153,42641.311264,36542.09163,37899.989739,34942.136029,5636.488597,0,40578.624626,40073.033512,8880.251834,0,48953.285346,35355.01098,6940.176925,0,42295.187905
