"","","","2013-14 ","2014-15 ","2015-16 ","2016-17 ","2017-18 ","2018-19 ","2019-20 (4)","2020-21 ","","","","2021-22 ","","","","2022-23 ","","",""
"","","",".",".",".",".",".",".",".","LHB and PHW total ",".",".","LHB and PHW total ","LHB and PHW total ",".",".","LHB and PHW total ","LHB and PHW total ",".",".","LHB and PHW total "
"","","",".",".",".",".",".",".",".","LHB primary ","LHB secondary ","LHB and PHW other ",".","LHB primary ","LHB secondary ","LHB and PHW other ",".","LHB primary ","LHB secondary ","LHB and PHW other ","."
"Total ","","",1253523.830796,1326420.556718,1379255.592,1432099.921426,1473226.233589,1544480.988,1635520.055533,344473,1467037.248082,40265.169858,1851775.41794,356695.984703,1533148.676671,49431.660203,1939276.321577,355559.295342,1645383.942144,41819.771374,2042763.008859
"Total ","Infectious diseases ","Infectious diseases ",15950.369813,16455.833364,18414.156221,18005.416938,25650.074045,26147.29721,30551.120309,7588.002141,72099.245632,17769.27754,97456.525314,13079.389735,62709.449876,18045.638683,93834.478294,7496.541155,54638.805248,4180.2127,66315.559103
"","Cancers & tumours ","Cancers & tumours ",89671.525664,99766.445655,103617.63548,107621.518107,112017.34379,120426.3794,135296.75983,6202.433468,155291.36529,0,161493.798758,6370.032272,153649.25452,0,160019.286792,5450.155981,166348.902049,0,171799.05803
"","Blood disorders ","Blood disorders ",11869.509809,12182.977142,11628.777015,12994.026361,14121.364311,15333.28805,16286.535012,2929.955483,15504.943275,0,18434.898758,3133.928334,16875.145677,0,20009.074012,3319.606189,17142.444167,0,20462.050356
"","Endocrine, nutritional & metabolic problems ","",44570.298575,43431.804328,42628.051228,46399.222251,49560.709569,52350.91048,54772.907782,35198.38338,36344.738349,0,71543.121728,36297.581465,34763.533067,0,71061.114532,39045.261857,36743.337501,0,75788.599358
"","Endocrine, nutritional & metabolic problems ","Diabetes ",18868.903276,20048.236445,20736.793143,21687.636729,23136.810598,25038.872,26897.119051,21333.702157,8901.989365,0,30235.691522,21927.693732,9070.036464,0,30997.730196,23406.828698,9292.65863,0,32699.487328
"","","Other endocrine, nutritional and metabolic problems ",25701.395299,23383.567883,27462.825753,24711.585522,26423.898971,27312.03848,27875.788731,13864.681223,27442.748983,0,41307.430206,14369.887734,25693.496602,0,40063.384336,15638.433159,27450.678871,0,43089.11203
"","Mental health problems ","",130850.442809,141280.249726,146006.013497,159764.009118,170873.324296,172777.4575,184797.461386,14248.809763,197676.922898,0,211925.732661,12364.875727,207578.396402,0,219943.272129,11319.125025,213141.248357,0,224460.373382
"","Mental health problems ","General mental illness ",41792.577881,62957.978644,65629.509684,73501.596173,76102.127868,78954.3463,83659.121928,3778.255015,90956.883505,0,94735.138519,3870.456701,95559.64233,0,99430.099031,3648.975814,100671.826187,0,104320.802002
"","","Elderly mental illness ",35163.05813,40933.092338,44413.100229,51032.359784,55987.781247,54507.60698,57970.281558,1071.490171,65251.391499,0,66322.88167,1118.556927,61340.447625,0,62459.004552,779.952396,61716.77279,0,62496.725185
"","","Child & adolescent mental health services ",12458.167934,12154.72722,16075.303058,17170.17738,19568.594495,19506.33078,22011.825365,1395.953941,22200.719,0,23596.672941,1518.231829,30767.468169,0,32285.699998,1463.550387,28999.093169,0,30462.643556
"","","Other mental health problems ",41436.638865,25234.451525,19888.100526,18059.875782,19214.820686,19809.17344,21156.232534,8003.110636,19267.928895,0,27271.03953,5857.63027,19910.838278,0,25768.468548,5426.646428,21753.556211,0,27180.20264
"","Learning disability problems ","Learning disability problems ",24751.728325,28141,28237.875191,34049.05673,37109.640761,41480.3543,38182.448163,368,41423.660712,0,41791.660712,486.264768,41357.995008,0,41844.259776,305.496304,41591.396824,0,41896.893128
"","Neurological system problems ","Neurological system problems ",71733.058313,75595.968499,84434.781053,84749.311921,77386.032039,80482.74703,85225.283635,9632.183965,86874.712802,0,96506.896768,9609.277022,87999.456605,0,97608.733627,9258.460352,95686.8486,0,104945.308952
"","Eye/vision problems ","Eye/vision problems ",29710.377022,33362.719053,33130.102603,36853.525864,40894.07424,49241.33873,45187.767214,12321.678208,34019.916827,0,46341.595035,12743.13156,31844.523182,0,44587.654743,12211.624559,40956.811209,0,53168.435768
"","Hearing problems ","Hearing problems ",8870.238435,7701.670551,9053.443829,9429.19302,9062.266027,9956.2703,10708.993331,187.174155,9194.865981,0,9382.040136,214.957559,10727.813011,0,10942.77057,198.888962,11682.03718,0,11880.926142
"","Circulation problems ","",104668.979023,109133.685912,104063.662758,103120.141104,111090.453191,116331.4471,126587.993553,29748.450147,104146.931,0,133895.381147,30815.156135,117770.920695,0,148586.07683,30273.691867,136030.62852,0,166304.320387
"","Circulation problems ","Coronary Heart Disease ",27054.455995,28097.796269,20996.581941,24244.332518,21371.217052,20849.80907,22598.819287,4131.813177,20721.365388,0,24853.178565,4160.728891,22170.027115,0,26330.756006,3630.944004,26539.396204,0,30170.340208
"","","Cerebrovascular disease ",20723.72676,21131.568073,17122.877294,17687.238967,22209.751575,22188.68477,24684.766212,745.458344,23737.929922,0,24483.388266,821.992354,28012.521481,0,28834.513835,720.988768,34886.331089,0,35607.319857
"","","Other problems of circulation (1)",56890.796269,59904.321569,65944.203522,61188.569619,67509.484564,73292.95329,79304.408054,24871.178626,59687.63569,0,84558.814317,25832.434889,67588.372099,0,93420.806988,25921.759095,74604.901227,0,100526.660322
"","Respiratory problems ","Respiratory problems ",81408.704249,90045.192659,91730.280821,93130.317005,94245.546371,100983.6984,110177.16509,24902.476942,67969.342915,0,92871.819857,25225.808673,79175.867307,0,104401.67598,25923.224883,92943.389244,0,118866.614127
"","Dental problems ","Dental problems ",43624.351745,38578.403966,36821.67596,36906.529336,36752.152931,39197.54505,41419.930165,31915.131833,11017.407637,0,42932.539469,33766.228472,13482.824365,0,47249.052837,34062.641613,12509.753921,0,46572.395534
