"","","","2013-14 ","2014-15 ","2015-16 ","2016-17 ","2017-18 ","2018-19 ","2019-20 (4)","2020-21 ","","","","2021-22 ","","","","2022-23 ","","",""
"","","",".",".",".",".",".",".",".","LHB and PHW total ",".",".","LHB and PHW total ","LHB and PHW total ",".",".","LHB and PHW total ","LHB and PHW total ",".",".","LHB and PHW total "
"","","",".",".",".",".",".",".",".","LHB primary ","LHB secondary ","LHB and PHW other ",".","LHB primary ","LHB secondary ","LHB and PHW other ",".","LHB primary ","LHB secondary ","LHB and PHW other ","."
"Total ","","",783662.162683,822743.210575,891212,921837.347567,936264.650335,971937.4446,1032039.347949,249693.806251,934483.251067,37718.69031,1221895.747627,263755.44297,971789.905547,51124.710083,1286670.0586,263821.224601,1067131.393891,38018.361009,1368970.979501
"Total ","Infectious diseases ","Infectious diseases ",12908.256996,13328.010594,15413.815425,16637.47318,21518.763578,17627.35693,18045.905602,5934.400457,50858.365696,12756.297666,69549.06382,5723.501158,42090.750581,12995.847726,60810.099465,5395.38687,31108.358662,2993.542316,39497.287848
"","Cancers & tumours ","Cancers & tumours ",47558.506213,54550.771949,59732.815695,62558.791082,64530.400378,67823.68307,73268.625367,3335.305029,78958.725331,2108.934307,84402.964667,3211.658172,83858.951708,3721.233471,90791.843351,3159.634681,97570.030323,3252.026766,103981.691771
"","Blood disorders ","Blood disorders ",7997.706557,8295.486308,10751.210274,9382.471014,12056.619266,13240.4893,13979.306909,1311.468209,14176.622212,0,15488.090421,1372.835254,18315.131649,0,19687.966903,1456.678107,15010.67909,0,16467.357197
"","Endocrine, nutritional & metabolic problems ","",30609.516779,34218.721953,36597.662996,40966.88761,41218.494949,43797.09043,47056.922651,29353.140534,22666.128818,84.602263,52103.871615,32597.216417,27496.148086,149.281451,60242.645955,34217.731975,28915.13541,0,63132.867384
"","Endocrine, nutritional & metabolic problems ","Diabetes ",13139.656881,14163.180329,15224.257194,17110.760021,17396.3612,18478.50253,21302.198806,16791.173248,4013.228238,0,20804.401486,19032.684255,3777.947293,0,22810.631548,19582.082297,3242.533435,0,22824.615731
"","","Other endocrine, nutritional and metabolic problems ",17469.859897,20055.541624,25148.091706,23856.127589,23822.133749,25318.5879,25754.723845,12561.967286,18652.900581,84.602263,31299.470129,13564.532162,23718.200793,149.281451,37432.014407,14635.649678,25672.601975,0,40308.251653
"","Mental health problems ","",105493.718732,107752.758782,106636.039692,111645.528538,115443.666968,117422.9032,124424.250264,10847.048582,140383.635365,2523.480313,153754.16426,9097.866143,142073.112091,4452.703613,155623.681846,9265.049047,151099.518793,2558.602451,162923.170291
"","Mental health problems ","General mental illness ",50401.160684,54596.616392,53598.475485,57769.351817,57554.333012,55401.91631,57732.335476,1307.976724,67829.425121,1809.702379,70947.104224,1823.82775,71340.920117,3193.236055,76357.983922,1575.049496,75413.740949,2199.372983,79188.163427
"","","Elderly mental illness ",27922.865099,27242.12471,27039.807907,28732.568825,32852.422127,33023.28834,34540.592485,1352.111485,40001.008213,140.883003,41494.002701,912.3375,36954.260623,248.589321,38115.187445,921.164913,39069.387334,105.607762,40096.16001
"","","Child & adolescent mental health services ",4593.629739,4560.351635,4302.770488,5077.696993,6272.539564,6814.528488,8618.096532,486.261901,10509.739141,87.990783,11083.991825,461.969632,10905.847523,155.260525,11523.07768,518.595505,12635.019554,81.110631,13234.725691
"","","Other mental health problems ",22576.06321,21353.666045,21694.985812,20065.910903,18764.372264,22183.17001,23533.225772,7700.698473,22043.46289,484.904147,30229.06551,5899.73126,22872.083827,855.617711,29627.432799,6250.239132,23981.370956,172.511075,30404.121163
"","Learning disability problems ","Learning disability problems ",20119.16262,21526.113862,22571.303707,23502.980819,24978.001557,25713.72768,29730.373234,70.52419,33207.576533,0,33278.100723,174.98792,34464.903582,0,34639.891502,155.844036,40378.058082,0,40533.902118
"","Neurological system problems ","Neurological system problems ",33413.683747,35506.439009,35780.320658,37597.49854,35015.415446,33727.88626,38254.061194,7205.540328,40185.422365,56.915737,47447.87843,7383.955134,37915.931808,100.428328,45400.315269,7189.49183,40641.817966,53.327595,47884.63739
"","Eye/vision problems ","Eye/vision problems ",16941.000568,17955.825392,20244.78187,21229.567225,21875.750692,23474.2916,24473.506218,10577.643791,14952.737274,48.349472,25578.730537,11376.67497,16443.938637,85.313076,27905.926683,11169.758879,22136.093204,0,33305.852083
"","Hearing problems ","Hearing problems ",4232.173343,4696.97076,5441.067385,5395.477703,5915.22867,5549.631774,5351.337463,107.127435,6325.561159,28.200754,6460.889349,112.446282,6786.760738,49.760484,6948.967503,114.990211,6993.055464,0,7108.045675
"","Circulation problems ","",50551.455237,51615.661882,55082.898857,58911.608077,59226.435349,58160.09241,67295.163823,16540.211973,59885.896223,88.536292,76514.644488,17647.63815,59227.064025,156.223079,77030.925254,17194.482162,72748.935966,82.476074,90025.894202
"","Circulation problems ","Coronary Heart Disease ",13563.932926,13826.692161,13616.195866,16640.560341,15075.561559,13051.06913,13500.156263,2581.755158,12281.288857,0,14863.044015,2676.759173,12360.522782,0,15037.281955,2475.478813,12629.675273,0,15105.154087
"","","Cerebrovascular disease ",8756.33602,10116.187575,10291.670179,10582.028201,10919.823481,9788.556235,10421.781736,514.580291,14536.354117,88.536292,15139.4707,512.656965,14699.916834,156.223079,15368.796878,168.772088,14513.765814,82.476074,14765.013975
"","","Other problems of circulation (1)",28231.18629,27672.782146,31175.032812,31689.019534,33231.050309,35320.46704,43373.225824,13443.876525,33068.253249,0,46512.129774,14458.222012,32166.624409,0,46624.846422,14550.231261,45605.494879,0,60155.72614
"","Respiratory problems ","Respiratory problems ",46209.656089,47498.526135,52964.81636,60202.370795,54363.20566,57044.3862,61353.188981,15960.503876,35831.450174,0,51791.95405,16771.199658,43582.409854,0,60353.609512,17881.967611,53772.319347,0,71654.286958
