"","","","2013-14 ","2014-15 ","2015-16 ","2016-17 ","2017-18 ","2018-19 ","2019-20 (4)","2020-21 ","","","","2021-22 ","","","","2022-23 ","","",""
"","","",".",".",".",".",".",".",".","LHB and PHW total ",".",".","LHB and PHW total ","LHB and PHW total ",".",".","LHB and PHW total ","LHB and PHW total ",".",".","LHB and PHW total "
"","","",".",".",".",".",".",".",".","LHB primary ","LHB secondary ","LHB and PHW other ",".","LHB primary ","LHB secondary ","LHB and PHW other ",".","LHB primary ","LHB secondary ","LHB and PHW other ","."
"Total ","","",575413.978,595554.66,621512.983,650781.920023,664524.086528,694862.7926,".",".",".",".",".",".",".",".",".",".",".",".","."
"Total ","Infectious diseases ","Infectious diseases ",6709.031,6985.265,7648.825,8543.671,14224.927,13293.756,".",".",".",".",".",".",".",".",".",".",".",".","."
"","Cancers & tumours ","Cancers & tumours ",38981.941,41416.262,41919.102,42261.501,43071.803,45699.778,".",".",".",".",".",".",".",".",".",".",".",".","."
"","Blood disorders ","Blood disorders ",4797.47,5754.008,5528.323,6156.798,6698.49,7617.455,".",".",".",".",".",".",".",".",".",".",".",".","."
"","Endocrine, nutritional & metabolic problems ","",23693.688,24320.988,24574.635,26376.263,30543.077,33367.549,".",".",".",".",".",".",".",".",".",".",".",".","."
"","Endocrine, nutritional & metabolic problems ","Diabetes ",10402.836,10358.952,10475.7,11957.519,13862.824,15193.43,".",".",".",".",".",".",".",".",".",".",".",".","."
"","","Other endocrine, nutritional and metabolic problems ",13290.852,13962.036,16617.509,14418.744,16680.253,18174.119,".",".",".",".",".",".",".",".",".",".",".",".","."
"","Mental health problems ","",73506.125,74991.414,75363.434,77579.138,79601.562,83135.842,".",".",".",".",".",".",".",".",".",".",".",".","."
"","Mental health problems ","General mental illness ",38926.436,40008.715,40068.902,43920.665,47239.652,47617.415,".",".",".",".",".",".",".",".",".",".",".",".","."
"","","Elderly mental illness ",20145.706,21992.519,21994.623,22022.24,21391.163,20289.011,".",".",".",".",".",".",".",".",".",".",".",".","."
"","","Child & adolescent mental health services ",4397.77,4414.739,4877.92,4008.665,4901.035,6517.037,".",".",".",".",".",".",".",".",".",".",".",".","."
"","","Other mental health problems ",10036.213,8575.441,8421.989,7627.568,6069.712,8712.379,".",".",".",".",".",".",".",".",".",".",".",".","."
"","Learning disability problems ","Learning disability problems ",6239.373,7019.756,6499.277,8161.745,7614.01,7286.383,".",".",".",".",".",".",".",".",".",".",".",".","."
"","Neurological system problems ","Neurological system problems ",23484.905,27714.977,31069.768,32469.97,31252.949,32581.489,".",".",".",".",".",".",".",".",".",".",".",".","."
"","Eye/vision problems ","Eye/vision problems ",13770.745,14632.379,15596.981,19339.074,18998.337,16971.786,".",".",".",".",".",".",".",".",".",".",".",".","."
"","Hearing problems ","Hearing problems ",2177.225,2737.829,2871.329,3442.755,3575.545,3568.25,".",".",".",".",".",".",".",".",".",".",".",".","."
"","Circulation problems ","",43848.428,45105.088,48660.523,50552.426,49254.147,51001.514,".",".",".",".",".",".",".",".",".",".",".",".","."
"","Circulation problems ","Coronary Heart Disease ",12123.91,12062.229,11793.744,12271.11,11925.171,11985.728,".",".",".",".",".",".",".",".",".",".",".",".","."
"","","Cerebrovascular disease ",8638.63,8907.938,9364.134,8120.871,8165.401,8624.955,".",".",".",".",".",".",".",".",".",".",".",".","."
"","","Other problems of circulation (1)",23085.888,24134.921,27502.645,30160.445,29163.575,30390.831,".",".",".",".",".",".",".",".",".",".",".",".","."
"","Respiratory problems ","Respiratory problems ",42527.719,44564.522,45878.353,49500.1855,50160.615,49436.126,".",".",".",".",".",".",".",".",".",".",".",".","."
"","Dental problems ","Dental problems ",20589.088,20960.694,23921.34,21171.196,21466.789,22677.747,".",".",".",".",".",".",".",".",".",".",".",".","."
"","Gastro intestinal problems ","Gastro intestinal problems ",31288.636,33311.197,35988.579,39991.8,40216.787,43511.169,".",".",".",".",".",".",".",".",".",".",".",".","."
"","Skin problems ","Skin problems ",10459.006,11635.776,10061.261,12793.54,11041.989,13133.041,".",".",".",".",".",".",".",".",".",".",".",".","."
"","Musculo skeletal system problems (exc Trauma) ","Musculo skeletal system problems (exc Trauma) ",34533.569,36318.596,35097.524,38975.236,36235.383,37660.206,".",".",".",".",".",".",".",".",".",".",".",".","."
"","Trauma & injuries (inc burns) ","Trauma & injuries (inc burns) ",42481.962,45975.679,50508.133,50229.355,49217.149,53456.204,".",".",".",".",".",".",".",".",".",".",".",".","."
"","Genito Urinary system disorders (exc infertility) ","",26239.677,27700.726,26521.087,28421.594,28064.014,27127.702,".",".",".",".",".",".",".",".",".",".",".",".","."
"","Genito Urinary system disorders (exc infertility) ","Genital tract problems ",6234.86,6040.77,7316.745,6847.357,8648.008,8044.267,".",".",".",".",".",".",".",".",".",".",".",".","."
"","","Renal problems ",6007.45,6128.708,5733.964,7853.407,7165.937,7679.373,".",".",".",".",".",".",".",".",".",".",".",".","."
"","","Chronic renal failure (2)",0,0,0,0,0,0,".",".",".",".",".",".",".",".",".",".",".",".","."
"","","Sexually transmitted infections (2)",662.168,1191.438,447.155,71.357,19.091,0,".",".",".",".",".",".",".",".",".",".",".",".","."
"","","Other problems of the genito urinary system ",13335.199,14339.81,13023.223,13649.473,12230.978,11404.062,".",".",".",".",".",".",".",".",".",".",".",".","."
"","Maternity & reproductive health ","Maternity & reproductive health ",20919.149,21517.981,20437.353,23021.825,26276.625,25966.01,".",".",".",".",".",".",".",".",".",".",".",".","."
"","Neonates ","Neonates ",6607.967,5826.65,6000.808,7823.528,4805.94,5180.849,".",".",".",".",".",".",".",".",".",".",".",".","."
"","Poisoning ","Poisoning ",7591.845,6812.491,8342.406,8008.202,8283.271,7849.058,".",".",".",".",".",".",".",".",".",".",".",".","."
