"","","","2013-14 ","2014-15 ","2015-16 ","2016-17 ","2017-18 ","2018-19 ","2019-20 (4)","2020-21 ","","","","2021-22 ","","","","2022-23 ","","",""
"","","",".",".",".",".",".",".",".","LHB and PHW total ",".",".","LHB and PHW total ","LHB and PHW total ",".",".","LHB and PHW total ","LHB and PHW total ",".",".","LHB and PHW total "
"","","",".",".",".",".",".",".",".","LHB primary ","LHB secondary ","LHB and PHW other ",".","LHB primary ","LHB secondary ","LHB and PHW other ",".","LHB primary ","LHB secondary ","LHB and PHW other ","."
"Total ","","",716711.916035,740194.307388,779994.523543,825652.52796,846991.957157,877382.7186,937554.051223,202504.909393,853566.895129,22309.080597,1078380.885118,206358.485094,889475.842369,27389.146089,1123223.473552,219747.475212,931079.07163,23281.708441,1174108.255284
"Total ","Infectious diseases ","Infectious diseases ",9717.931246,10658.86896,11873.985421,11202.211501,19750.933914,18774.73954,18225.790125,11326.304669,38301.909968,9845.140259,59473.354896,7070.497719,40401.583067,9998.746393,57470.827179,5056.701672,32059.211859,2327.188555,39443.102086
"","Cancers & tumours ","Cancers & tumours ",55122.909836,54987.884155,61737.469798,64594.42743,61302.22608,63818.21031,69863.256448,4093.163579,85615.325874,0,89708.489454,3912.731542,83285.362485,0,87198.094027,3894.549015,88442.439415,0,92336.98843
"","Blood disorders ","Blood disorders ",5981.378386,6089.324657,6207.732787,7745.203638,7316.620862,8045.006003,10318.164139,729.210307,12192.017549,0,12921.227856,738.285603,13156.341606,0,13894.627209,793.90798,12855.835448,0,13649.743427
"","Endocrine, nutritional & metabolic problems ","",26327.561347,28051.873456,29259.749941,30889.429109,31016.090976,35293.95076,37418.296832,23523.418751,19925.351507,0,43448.770257,24388.449111,24277.004993,0,48665.454104,27296.917275,27467.476356,0,54764.393631
"","Endocrine, nutritional & metabolic problems ","Diabetes ",13676.345082,13567.884456,15089.15092,15924.650318,15900.793379,17981.83472,19548.882705,14637.098817,6341.274445,0,20978.373262,15726.381179,7084.079933,0,22810.461112,17599.116399,8926.678207,0,26525.794606
"","","Other endocrine, nutritional and metabolic problems ",12651.216265,14483.989,17609.885388,14964.778791,15115.297597,17312.11604,17869.414127,8886.319934,13584.077062,0,22470.396995,8662.067932,17192.92506,0,25854.992992,9697.800876,18540.798149,0,28238.599025
"","Mental health problems ","",76474.033969,77495.194846,76979.22709,80949.280551,83754.163783,85202.8283,91961.191918,8386.761354,95393.01223,0,103779.773585,7164.037906,99190.98118,0,106355.019086,7813.188626,107977.164168,0,115790.352794
"","Mental health problems ","General mental illness ",40057.949771,39845.753847,41810.076806,39865.433915,39974.215934,41846.14056,49820.807758,1644.326246,48820.521456,0,50464.847702,1417.077753,50825.677124,0,52242.754877,1452.653876,54515.549407,0,55968.203283
"","","Elderly mental illness ",20896.880551,21342.704312,19905.012562,23704.634596,24173.532252,24699.10605,22680.184912,539.194117,31260.222896,0,31799.417014,414.381259,31738.213591,0,32152.594849,369.177504,33428.732362,0,33797.909866
"","","Child & adolescent mental health services ",4754.821431,4556.32835,4668.316055,6519.139537,6573.747193,6112.764508,7968.026135,523.181599,8067.761513,0,8590.943112,546.886749,9289.396125,0,9836.282874,639.539069,11789.960402,0,12429.499471
"","","Other mental health problems ",10764.382216,11750.408336,10595.821667,10860.072503,13032.668403,12544.81719,11492.173114,5680.059393,7244.506364,0,12924.565757,4785.692145,7337.69434,0,12123.386486,5351.818178,8242.921996,0,13594.740174
"","Learning disability problems ","Learning disability problems ",24426.634693,24350.310408,23805.594921,22874.954307,23609.819538,23891.34102,28756.278849,22.027322,29847.525346,0,29869.552668,69.022395,27985.01393,0,28054.036324,91.048335,28830.82746,0,28921.875795
"","Neurological system problems ","Neurological system problems ",31571.614446,36143.487023,36731.502692,42089.671661,38290.682814,37811.96812,38314.773869,5939.07238,36921.719532,0,42860.791912,5741.981588,41852.44039,0,47594.421978,5953.556731,41633.264268,0,47586.821
"","Eye/vision problems ","Eye/vision problems ",15568.952988,17895.833409,18973.084726,22040.79085,23890.988495,25658.71647,24169.766242,7810.923743,18314.453731,0,26125.377474,8024.184143,23253.194608,0,31277.378751,7557.235738,19436.723301,0,26993.959038
"","Hearing problems ","Hearing problems ",2302.567522,2302.017623,3586.224383,3519.119454,3827.789427,3961.360579,4071.440585,83.842129,3255.83,0,3339.672129,78.657421,4229.888626,0,4308.546047,87.172229,4586.873271,0,4674.0455
"","Circulation problems ","",56182.216256,57303.713397,62316.474422,63285.367809,67156.504306,74068.98733,77772.584467,19106.636732,64119.360066,0,83225.996799,19833.655203,72026.256956,0,91859.91216,21188.250771,76215.432779,0,97403.68355
"","Circulation problems ","Coronary Heart Disease ",16492.766842,14665.117227,16108.938206,15874.878913,14193.527255,15083.55431,15075.106966,2617.114826,13992.74889,0,16609.863716,2551.034273,14702.116743,0,17253.151017,2663.962399,14038.345644,0,16702.308043
"","","Cerebrovascular disease ",10550.440562,10125.206674,11529.292378,12799.472013,10684.433028,12746.85132,12781.219254,458.584933,13574.771751,0,14033.356684,443.941035,16898.732534,0,17342.673569,393.499035,19993.487436,0,20386.986471
"","","Other problems of circulation (1)",29139.008852,32513.389496,34678.243838,34611.016883,42278.544022,46238.5817,49916.258248,16030.936973,36551.839425,0,52582.776398,16838.679895,40425.407678,0,57264.087574,18130.789337,42183.599699,0,60314.389036
"","Respiratory problems ","Respiratory problems ",41472.505601,45152.833004,47123.169672,50623.558932,47781.213948,49358.74523,51998.295408,13948.998423,30552.12235,0,44501.120773,13800.811386,40690.162226,0,54490.973613,14871.827489,47686.34801,0,62558.1755
"","Dental problems ","Dental problems ",18942.109269,18745.240052,17505.73,19446.129327,19254.884754,19170.17325,20464.319476,17070.446316,4254.324072,0,21324.770388,19376.152923,3679.2537,0,23055.406624,19817.414397,4424.608472,0,24242.022869
