"","","","2013-14 ","2014-15 ","2015-16 ","2016-17 ","2017-18 ","2018-19 ","2019-20 (4)","2020-21 ","","","","2021-22 ","","","","2022-23 ","","",""
"","","",".",".",".",".",".",".",".","LHB and PHW total ",".",".","LHB and PHW total ","LHB and PHW total ",".",".","LHB and PHW total ","LHB and PHW total ",".",".","LHB and PHW total "
"","","",".",".",".",".",".",".",".","LHB primary ","LHB secondary ","LHB and PHW other ",".","LHB primary ","LHB secondary ","LHB and PHW other ",".","LHB primary ","LHB secondary ","LHB and PHW other ","."
"Total ","","",1781.155047,1839.851772,1935.564861,1993.928562,2044.090088,2119.327239,2253.747894,549.716317,1948.346565,57.002297,2555.065178,624.661557,2104.431527,71.460805,2800.553888,548.046795,2297.452404,60.546027,2906.045226
"Total ","Infectious diseases ","Infectious diseases ",22.568208,22.60771,24.016899,23.403536,34.541851,32.269569,34.635064,10.958882,127.09769,25.155479,163.212051,10.909909,94.73771,26.08765,131.73527,8.670723,69.771558,6.052048,84.494329
"","Cancers & tumours ","Cancers & tumours ",107.461055,114.883679,119.583292,127.648284,131.551132,140.546166,152.090613,7.463513,165.198352,0,172.661864,7.940875,180.736994,0,188.677869,6.86004,207.804142,0,214.664182
"","Blood disorders ","Blood disorders ",13.064567,13.146804,15.25522,14.933612,16.362236,19.876649,22.498021,1.796314,23.809021,0,25.605335,1.930703,23.095042,0,25.025745,1.801941,22.071089,0,23.87303
"","Endocrine, nutritional & metabolic problems ","",63.949204,67.441155,70.64107,75.111978,81.61082,84.222635,88.404341,62.578639,41.545269,0,104.123908,71.755353,49.091679,0,120.847033,68.186394,55.981718,0,124.168112
"","Endocrine, nutritional & metabolic problems ","Diabetes ",31.577846,31.398936,32.040665,34.845205,36.081734,38.351916,40.178523,36.736785,8.636769,0,45.373554,42.812956,7.668993,0,50.481949,40.408374,8.924738,0,49.333112
"","","Other endocrine, nutritional and metabolic problems ",32.371358,36.042219,46.337975,40.266774,45.529086,45.87072,48.225818,25.841854,32.9085,0,58.750354,28.942397,41.422686,0,70.365084,27.77802,47.05698,0,74.835
"","Mental health problems ","",185.145953,192.123676,201.284518,193.391834,210.19228,216.327308,232.889804,22.629631,231.210424,0,253.840055,20.5899,247.558321,0,268.148221,18.341522,271.664275,0,290.005796
"","Mental health problems ","General mental illness ",79.090574,71.285029,74.620728,65.367565,92.207799,97.68079,101.365987,1.681944,117.285408,0,118.967352,2.485119,123.992716,0,126.477835,1.937306,132.249831,0,134.187137
"","","Elderly mental illness ",51.108683,61.864628,68.572179,70.740708,69.968321,70.817309,76.286102,1.267147,75.796299,0,77.063446,1.758813,78.020616,0,79.779429,1.295275,83.319585,0,84.614859
"","","Child & adolescent mental health services ",14.94054,14.370578,12.438986,13.528214,14.320232,15.157677,22.998156,0.775359,20.265437,0,21.040797,0.880984,23.329716,0,24.2107,0.875022,30.725157,0,31.600179
"","","Other mental health problems ",40.006156,44.603441,45.652625,43.755347,33.695928,32.671532,32.239559,18.905181,17.863279,0,36.76846,15.464983,22.215273,0,37.680257,14.233919,25.369702,0,39.603621
"","Learning disability problems ","Learning disability problems ",42.656953,41.425421,46.380436,50.032702,58.192289,59.436236,58.071549,0.204149,71.264862,0,71.469011,0.16876,62.782207,0,62.950967,0.216767,69.696178,0,69.912945
"","Neurological system problems ","Neurological system problems ",89.933243,89.277907,107.340253,92.829293,85.68276,87.343561,87.385945,19.340281,92.253899,0,111.59418,20.723533,90.674733,0,111.398266,18.713349,98.32746,0,117.040809
"","Eye/vision problems ","Eye/vision problems ",38.375659,43.123333,44.427132,52.290032,56.018037,54.412114,58.560579,20.443903,30.156131,0,50.600035,23.571525,33.221497,0,56.793021,20.059604,40.617915,0,60.67752
"","Hearing problems ","Hearing problems ",7.102097,7.341518,7.718498,7.521088,8.576488,8.544054,9.270311,0.223738,7.358899,0,7.582636,0.251086,11.441285,0,11.692371,0.236921,10.554358,0,10.791279
"","Circulation problems ","",136.996011,139.479497,137.655758,141.365611,145.32564,146.216679,156.875231,40.313062,153.374918,0,193.68798,45.987764,152.561215,0,198.548979,42.143011,164.923671,0,207.066682
"","Circulation problems ","Coronary Heart Disease ",38.88654,36.589321,35.446456,34.085545,31.768176,29.065331,28.465445,8.449589,25.479419,0,33.929008,9.275625,25.998609,0,35.274234,7.811096,21.511349,0,29.322444
"","","Cerebrovascular disease ",18.610539,19.428317,21.430435,21.699026,21.026346,22.904073,23.861456,0.597053,34.107408,0,34.704462,1.187655,28.927128,0,30.114783,0.83914,34.394881,0,35.23402
"","","Other problems of circulation (1)",79.498932,83.461859,80.778867,85.58104,92.531118,94.247274,104.54833,31.26642,93.78809,0,125.054511,35.524484,97.635478,0,133.159962,33.492775,109.017442,0,142.510217
"","Respiratory problems ","Respiratory problems ",119.093336,121.410069,129.436269,131.122775,126.237457,129.829198,139.003174,40.549449,91.496697,0,132.046146,43.986657,95.420452,0,139.40711,40.475251,111.014334,0,151.489585
"","Dental problems ","Dental problems ",54.614813,65.075612,68.611058,72.118185,72.550947,61.80742,63.787085,58.412716,9.422509,0,67.835225,68.116317,15.094691,0,83.211008,59.782296,11.735245,0,71.517541
"","Gastro intestinal problems ","Gastro intestinal problems ",102.845432,109.420972,118.675327,123.274806,118.917355,123.431387,135.832784,28.178049,124.352566,0,152.530615,32.133425,129.978614,0,162.112039,31.339239,158.9076,0,190.246839
"","Skin problems ","Skin problems ",47.56437,47.915384,49.236564,48.394051,43.684671,45.325364,48.239194,11.676587,38.719635,0,50.396223,12.899519,38.818125,0,51.717643,11.862088,42.827551,0,54.689638
"","Musculo skeletal system problems (exc Trauma) ","Musculo skeletal system problems (exc Trauma) ",115.55401,115.536403,120.412066,129.661634,128.95318,124.441227,124.320737,12.811221,72.446191,0,85.257412,13.358876,114.623795,0,127.98267,11.309783,140.225248,0,151.535031
