"","","","2013-14 ","2014-15 ","2015-16 ","2016-17 ","2017-18 ","2018-19 ","2019-20 (4)","2020-21 ","","","","2021-22 ","","","","2022-23 ","","",""
"","","",".",".",".",".",".",".",".","LHB and PHW total ",".",".","LHB and PHW total ","LHB and PHW total ",".",".","LHB and PHW total ","LHB and PHW total ",".",".","LHB and PHW total "
"","","",".",".",".",".",".",".",".","LHB primary ","LHB secondary ","LHB and PHW other ",".","LHB primary ","LHB secondary ","LHB and PHW other ",".","LHB primary ","LHB secondary ","LHB and PHW other ","."
"Total ","","",1813.599686,1913.841745,1989.234441,2061.091441,2115.840998,2211.554333,2337.930118,489.752773,2085.752904,57.246805,2632.752481,519.134075,2231.339164,71.942663,2822.415902,516.650361,2390.847939,60.766798,2968.265098
"Total ","Infectious diseases ","Infectious diseases ",23.077013,23.743496,26.557858,25.913562,36.838523,37.440518,43.671971,10.788204,102.506744,25.263382,138.55833,19.035698,91.267112,26.263559,136.566368,10.892953,79.393673,6.074116,96.360742
"","Cancers & tumours ","Cancers & tumours ",129.736864,143.949208,149.442765,154.889883,160.878814,172.439469,193.402929,8.818279,220.784725,0,229.603004,9.270922,223.620582,0,232.891504,7.919425,241.715577,0,249.635002
"","Blood disorders ","Blood disorders ",17.17282,17.578354,16.771629,18.701123,20.281041,21.955854,23.281146,4.16565,22.044076,0,26.209726,4.561108,24.560027,0,29.121136,4.8236,24.909066,0,29.732666
"","Endocrine, nutritional & metabolic problems ","",64.484358,62.666098,61.480402,66.778189,71.178872,74.961676,78.296338,50.043126,51.672951,0,101.716077,52.827372,50.594723,0,103.422095,56.735259,53.390416,0,110.125675
"","Endocrine, nutritional & metabolic problems ","Diabetes ",27.29955,28.926837,29.907686,31.213047,33.228985,35.853355,38.448678,30.331085,12.656359,0,42.987444,31.913488,13.200499,0,45.113987,34.011617,13.502826,0,47.514443
"","","Other endocrine, nutritional and metabolic problems ",37.184808,33.73926,39.608321,35.565142,37.949887,39.10832,39.847659,19.712042,39.016592,0,58.728633,20.913884,37.394224,0,58.308108,22.723642,39.887589,0,62.611231
"","Mental health problems ","",189.314568,203.847896,210.577497,229.933838,245.407512,247.401385,264.162796,20.258174,281.046181,0,301.304355,17.995796,302.108864,0,320.104661,16.447411,309.707845,0,326.155256
"","Mental health problems ","General mental illness ",60.465549,90.839672,94.654306,105.784176,109.297539,113.055342,119.588372,5.371715,129.317496,0,134.689212,5.633049,139.077166,0,144.710215,5.302195,146.282592,0,151.584787
"","","Elderly mental illness ",50.873952,59.060801,64.054892,73.446244,80.409404,78.049866,82.866894,1.523386,92.770841,0,94.294227,1.627944,89.274671,0,90.902614,1.133321,89.678412,0,90.811733
"","","Child & adolescent mental health services ",18.024491,17.537593,23.184642,24.711478,28.104329,27.931267,31.465288,1.984691,31.563762,0,33.548452,2.209629,44.778864,0,46.988494,2.126632,42.137534,0,44.264166
"","","Other mental health problems ",59.950576,36.40983,28.683657,25.99194,27.59624,28.364909,30.242242,11.378383,27.394082,0,38.772465,8.525174,28.978164,0,37.503338,7.885264,31.609306,0,39.49457
"","Learning disability problems ","Learning disability problems ",35.810828,40.603578,40.726138,49.003717,53.296702,59.396042,54.58074,0.523202,58.893883,0,59.417086,0.707708,60.19228,0,60.899988,0.443906,60.434956,0,60.878861
"","Neurological system problems ","Neurological system problems ",103.783469,109.074546,121.776251,121.971993,111.141477,115.243871,121.827156,13.69451,123.51369,0,137.2082,13.985308,128.074098,0,142.059406,13.453134,139.039101,0,152.492235
"","Eye/vision problems ","Eye/vision problems ",42.985007,48.137798,47.781964,53.039935,58.731888,70.509056,64.594648,17.518285,48.367647,0,65.885932,18.546309,46.346406,0,64.892715,17.74427,59.512862,0,77.257132
"","Hearing problems ","Hearing problems ",12.833471,11.112447,13.057349,13.570582,13.015186,14.256461,15.308206,0.266114,13.072755,0,13.338869,0.312848,15.613221,0,15.92607,0.288998,16.974746,0,17.263744
"","Circulation problems ","",151.435196,157.464842,150.086049,148.41146,159.547617,166.575903,180.953992,42.294711,148.070381,0,190.365092,44.848269,171.403382,0,216.251651,43.989607,197.66119,0,241.650797
"","Circulation problems ","Coronary Heart Disease ",39.142417,40.541241,30.282367,34.892667,30.693247,29.855004,32.304379,5.874385,29.460498,0,35.334883,6.05551,32.266179,0,38.321689,5.275994,38.563437,0,43.839431
"","","Cerebrovascular disease ",29.983111,30.489935,24.695508,25.455638,31.897547,31.77215,35.286182,1.059852,33.749284,0,34.809135,1.196325,40.769325,0,41.965649,1.047643,50.692067,0,51.73971
"","","Other problems of circulation (1)",82.309668,86.433666,95.108174,88.063155,96.956823,104.94875,113.36343,35.360474,84.860599,0,120.221073,37.596434,98.367878,0,135.964312,37.665971,108.405686,0,146.071657
"","Respiratory problems ","Respiratory problems ",117.782205,129.922782,132.298201,134.034013,135.355037,144.599343,157.495172,35.404973,96.635075,0,132.040048,36.713553,115.232277,0,151.94583,37.668101,135.05268,0,172.720781
"","Dental problems ","Dental problems ",63.115761,55.663311,53.106144,53.116218,52.783279,56.127269,59.20863,45.37518,15.663944,0,61.039124,49.14325,19.622855,0,68.766104,49.495193,18.177471,0,67.672665
"","Gastro intestinal problems ","Gastro intestinal problems ",109.09974,117.291176,128.015521,132.166156,124.636732,137.106023,149.841155,24.831747,136.014716,0,160.846463,26.789816,148.035127,0,174.824943,28.810199,154.181066,0,182.991265
"","Skin problems ","Skin problems ",51.522533,48.13097,53.826915,52.867431,54.918166,56.380711,59.651532,10.125567,52.343023,0,62.46859,10.549618,51.966674,0,62.516293,10.121053,58.947822,0,69.068875
"","Musculo skeletal system problems (exc Trauma) ","Musculo skeletal system problems (exc Trauma) ",117.200301,124.355099,113.803999,116.079078,120.357685,128.837395,134.137292,11.013357,98.202283,0,109.21564,11.145045,110.496993,0,121.642038,10.148937,146.654315,0,156.803253
