"","","","2013-14 ","2014-15 ","2015-16 ","2016-17 ","2017-18 ","2018-19 ","2019-20 (4)","2020-21 ","","","","2021-22 ","","","","2022-23 ","","",""
"","","",".",".",".",".",".",".",".","LHB and PHW total ",".",".","LHB and PHW total ","LHB and PHW total ",".",".","LHB and PHW total ","LHB and PHW total ",".",".","LHB and PHW total "
"","","",".",".",".",".",".",".",".","LHB primary ","LHB secondary ","LHB and PHW other ",".","LHB primary ","LHB secondary ","LHB and PHW other ",".","LHB primary ","LHB secondary ","LHB and PHW other ","."
"Total ","","",1634.052493,1703.973611,1835.748832,1881.074213,1897.400425,1957.921015,2062.057879,494.936157,1852.306854,74.764945,2422.007956,536.038181,1974.998081,103.902298,2614.93856,521.817918,2110.70312,75.197369,2707.718406
"Total ","Infectious diseases ","Infectious diseases ",26.915641,27.603483,31.749902,33.949939,43.609156,35.509459,36.056476,11.763004,100.810046,25.28518,137.858231,11.632045,85.542308,26.411855,123.586208,10.671657,61.52992,5.920994,78.122572
"","Cancers & tumours ","Cancers & tumours ",99.166579,112.979451,123.039688,127.655631,130.774999,136.627532,146.393785,6.611149,156.509802,4.180271,167.301222,6.52715,170.429089,7.562776,184.519015,6.249512,192.985951,6.432257,205.66772
"","Blood disorders ","Blood disorders ",16.676411,17.180682,22.145709,19.145595,24.433513,26.672326,27.931241,2.599556,28.100508,0,30.700064,2.790055,37.222397,0,40.012452,2.881196,29.689959,0,32.571155
"","Endocrine, nutritional & metabolic problems ","",63.825408,70.869985,75.385113,83.595827,83.531926,88.227122,94.021704,58.182983,44.928174,0.167696,103.278853,66.248311,55.881255,0.303389,122.432955,67.68002,57.191895,0,124.871914
"","Endocrine, nutritional & metabolic problems ","Diabetes ",27.398144,29.333193,31.359444,34.915714,35.254843,37.22405,42.562686,33.282999,7.95491,0,41.237909,38.680701,7.678037,0,46.358738,38.73184,6.41348,0,45.145319
"","","Other endocrine, nutritional and metabolic problems ",36.427264,41.536792,51.800896,48.680113,48.277084,51.003072,51.459018,24.899984,36.973264,0.167696,62.040944,27.56761,48.203218,0.303389,76.074217,28.94818,50.778415,0,79.726595
"","Mental health problems ","",219.970138,223.165448,219.652547,227.820586,233.954003,236.542764,248.604868,21.50072,278.264559,5.001973,304.767252,18.489869,288.739492,9.049365,316.278726,18.325548,298.863127,5.060717,322.249393
"","Mental health problems ","General mental illness ",105.093937,113.074398,110.403965,117.882442,116.637551,111.604483,115.351626,2.592635,134.44961,3.587142,140.629388,3.70662,144.988314,6.48971,155.184645,3.115326,149.16253,4.350189,156.628045
"","","Elderly mental illness ",58.223338,56.420838,55.697517,58.630836,66.577543,66.523819,69.013552,2.680118,79.288892,0.279254,82.248265,1.854171,75.103264,0.505216,77.462651,1.821993,77.276218,0.208884,79.307094
"","","Child & adolescent mental health services ",9.578403,9.44489,8.862993,10.361399,12.711704,13.727538,17.219318,0.963855,20.832114,0.174413,21.970382,0.938875,22.164284,0.315541,23.4187,1.025742,24.991089,0.160431,26.177261
"","","Other mental health problems ",47.074459,44.225322,44.688071,40.945908,38.027205,44.686924,47.020372,15.264112,43.693942,0.961164,59.919218,11.990203,46.483629,1.738898,60.21273,12.362488,47.433292,0.341214,60.136993
"","Learning disability problems ","Learning disability problems ",41.951455,44.582477,46.49314,47.959492,50.619524,51.799062,59.402532,0.139791,65.82314,0,65.962931,0.355633,70.044068,0,70.399701,0.308247,79.864667,0,80.172914
"","Neurological system problems ","Neurological system problems ",69.672514,73.536961,73.701523,76.720351,70.960988,67.943197,76.433218,14.282623,79.654433,0.112817,94.049872,15.006636,77.057697,0.204104,92.268437,14.220257,80.386363,0.105478,94.712098
"","Eye/vision problems ","Eye/vision problems ",35.324513,37.188095,41.700891,43.320431,44.332613,47.287826,48.899091,20.966713,29.638902,0.095837,50.701452,23.121161,33.419515,0.173384,56.714061,22.092917,43.783475,0,65.876392
"","Hearing problems ","Hearing problems ",8.824713,9.72784,11.207696,11.009853,11.987591,11.179465,10.692197,0.212345,12.538352,0.055899,12.806596,0.228528,13.79294,0.10113,14.122597,0.227442,13.831721,0,14.059163
"","Circulation problems ","",105.407324,106.900579,113.461631,120.213297,120.026174,117.160696,134.458558,32.785551,118.704167,0.175494,151.665212,35.86583,120.368957,0.317497,156.552284,34.009352,143.891752,0.163131,178.064235
"","Circulation problems ","Coronary Heart Disease ",28.282823,28.636297,28.047104,33.956239,30.551593,26.290748,26.973878,5.117484,24.343631,0,29.461115,5.440059,25.120665,0,30.560724,4.896305,24.980518,0,29.876823
"","","Cerebrovascular disease ",18.258267,20.951515,21.199133,21.593376,22.129723,19.718574,20.823157,1.019987,28.813559,0.175494,30.00904,1.041888,29.875087,0.317497,31.234472,0.333818,28.707103,0.163131,29.204052
"","","Other problems of circulation (1)",58.866234,57.312768,64.215394,64.663682,67.344857,71.151374,86.661523,26.64808,65.546977,0,92.195057,29.383883,65.373206,0,94.757089,28.779229,90.204131,0,118.98336
"","Respiratory problems ","Respiratory problems ",96.354025,98.373629,109.098733,122.847189,110.170527,114.913159,122.586243,31.636469,71.02411,0,102.660579,34.084617,88.573853,0,122.65847,35.369145,106.357477,0,141.726621
"","Dental problems ","Dental problems ",54.701397,55.093337,81.378403,78.089115,72.659026,75.631271,80.363632,56.635801,21.487054,0.13043,78.253286,66.861478,35.227786,0.235969,102.325233,58.231331,28.758124,0,86.989455
"","Gastro intestinal problems ","Gastro intestinal problems ",81.19491,88.883731,98.35882,103.143858,100.75819,107.76051,117.538076,24.02551,121.061801,1.118712,146.206023,26.532142,110.66918,2.023928,139.22525,27.75051,121.341304,0,149.091813
"","Skin problems ","Skin problems ",33.337542,32.478764,34.852475,33.272824,32.323296,34.076051,34.80307,11.588093,21.387315,0,32.975409,12.722472,26.105852,0,38.828324,12.091305,31.969449,0,44.060755
