"","","","2013-14 ","2014-15 ","2015-16 ","2016-17 ","2017-18 ","2018-19 ","2019-20 (4)","2020-21 ","","","","2021-22 ","","","","2022-23 ","","",""
"","","",".",".",".",".",".",".",".","LHB and PHW total ",".",".","LHB and PHW total ","LHB and PHW total ",".",".","LHB and PHW total ","LHB and PHW total ",".",".","LHB and PHW total "
"","","",".",".",".",".",".",".",".","LHB primary ","LHB secondary ","LHB and PHW other ",".","LHB primary ","LHB secondary ","LHB and PHW other ",".","LHB primary ","LHB secondary ","LHB and PHW other ","."
"Total ","","",1949.406038,2012.505314,2095.281864,2184.616356,2221.894097,2313.787544,".",".",".",".",".",".",".",".",".",".",".",".","."
"Total ","Infectious diseases ","Infectious diseases ",22.729072,23.60469,25.786178,28.680335,47.562281,44.266188,".",".",".",".",".",".",".",".",".",".",".",".","."
"","Cancers & tumours ","Cancers & tumours ",132.064277,139.95432,141.320192,141.868057,144.014321,152.173319,".",".",".",".",".",".",".",".",".",".",".",".","."
"","Blood disorders ","Blood disorders ",16.253024,19.444012,18.637414,20.667817,22.396984,25.364968,".",".",".",".",".",".",".",".",".",".",".",".","."
"","Endocrine, nutritional & metabolic problems ","",80.270241,82.185769,82.847484,88.542742,102.123435,111.108869,".",".",".",".",".",".",".",".",".",".",".",".","."
"","Endocrine, nutritional & metabolic problems ","Diabetes ",35.243063,35.005092,35.316308,40.140315,46.351558,50.591814,".",".",".",".",".",".",".",".",".",".",".",".","."
"","","Other endocrine, nutritional and metabolic problems ",45.027177,47.180676,56.021944,48.402426,55.771877,60.517055,".",".",".",".",".",".",".",".",".",".",".",".","."
"","Mental health problems ","",249.026422,253.411868,254.069731,260.426187,266.154748,276.829725,".",".",".",".",".",".",".",".",".",".",".",".","."
"","Mental health problems ","General mental illness ",131.876236,135.19792,135.082687,147.437721,157.949886,158.558758,".",".",".",".",".",".",".",".",".",".",".",".","."
"","","Elderly mental illness ",68.250273,74.317379,74.149593,73.926678,71.523215,67.559325,".",".",".",".",".",".",".",".",".",".",".",".","."
"","","Child & adolescent mental health services ",14.898907,14.918338,16.444737,13.456728,16.387037,21.700743,".",".",".",".",".",".",".",".",".",".",".",".","."
"","","Other mental health problems ",34.001006,28.978231,28.392715,25.60506,20.29461,29.010899,".",".",".",".",".",".",".",".",".",".",".",".","."
"","Learning disability problems ","Learning disability problems ",21.137949,23.721242,21.910753,27.398244,25.458105,24.262549,".",".",".",".",".",".",".",".",".",".",".",".","."
"","Neurological system problems ","Neurological system problems ",79.562919,93.654776,104.744266,108.998768,104.496954,108.491409,".",".",".",".",".",".",".",".",".",".",".",".","."
"","Eye/vision problems ","Eye/vision problems ",46.652974,49.445907,52.581478,64.919532,63.522593,56.513469,".",".",".",".",".",".",".",".",".",".",".",".","."
"","Hearing problems ","Hearing problems ",7.376073,9.251704,9.679997,11.557019,11.955146,11.88173,".",".",".",".",".",".",".",".",".",".",".",".","."
"","Circulation problems ","",148.551119,152.419644,164.047275,169.699946,164.685526,169.827294,".",".",".",".",".",".",".",".",".",".",".",".","."
"","Circulation problems ","Coronary Heart Disease ",41.073773,40.760826,39.759777,41.193012,39.872847,39.910654,".",".",".",".",".",".",".",".",".",".",".",".","."
"","","Cerebrovascular disease ",29.266229,30.101809,31.56893,27.261033,27.301729,28.71979,".",".",".",".",".",".",".",".",".",".",".",".","."
"","","Other problems of circulation (1)",78.211116,81.557009,92.718567,101.2459,97.51095,101.196851,".",".",".",".",".",".",".",".",".",".",".",".","."
"","Respiratory problems ","Respiratory problems ",144.076778,150.592957,154.667857,166.167669,167.71638,164.61479,".",".",".",".",".",".",".",".",".",".",".",".","."
"","Dental problems ","Dental problems ",69.752377,70.830624,80.645057,71.0698,71.776077,75.513453,".",".",".",".",".",".",".",".",".",".",".",".","."
"","Gastro intestinal problems ","Gastro intestinal problems ",106.00065,112.565589,121.326857,134.248875,134.468326,144.885583,".",".",".",".",".",".",".",".",".",".",".",".","."
"","Skin problems ","Skin problems ",35.433358,39.319751,33.919127,42.946763,36.919851,43.731032,".",".",".",".",".",".",".",".",".",".",".",".","."
"","Musculo skeletal system problems (exc Trauma) ","Musculo skeletal system problems (exc Trauma) ",116.993939,122.728227,118.322879,130.836361,121.156156,125.402765,".",".",".",".",".",".",".",".",".",".",".",".","."
"","Trauma & injuries (inc burns) ","Trauma & injuries (inc burns) ",143.921761,155.361555,170.276049,168.615426,164.56182,178.001039,".",".",".",".",".",".",".",".",".",".",".",".","."
"","Genito Urinary system disorders (exc infertility) ","",88.895624,93.606619,89.40948,95.408734,93.834472,90.331127,".",".",".",".",".",".",".",".",".",".",".",".","."
"","Genito Urinary system disorders (exc infertility) ","Genital tract problems ",21.12266,20.413041,24.66665,22.985961,28.915367,26.786187,".",".",".",".",".",".",".",".",".",".",".",".","."
"","","Renal problems ",20.352233,20.710202,19.330684,26.363181,23.959934,25.571146,".",".",".",".",".",".",".",".",".",".",".",".","."
"","","Chronic renal failure (2)",0,0,0,0,0,0,".",".",".",".",".",".",".",".",".",".",".",".","."
"","","Sexually transmitted infections (2)",2.243314,4.026121,1.507476,0.239539,0.063832,0,".",".",".",".",".",".",".",".",".",".",".",".","."
"","","Other problems of the genito urinary system ",45.177417,48.457255,43.904671,45.820053,40.895339,37.973794,".",".",".",".",".",".",".",".",".",".",".",".","."
"","Maternity & reproductive health ","Maternity & reproductive health ",70.870568,72.713815,68.899631,77.282195,87.858182,86.462869,".",".",".",".",".",".",".",".",".",".",".",".","."
"","Neonates ","Neonates ",22.386684,19.689484,20.230284,26.26288,16.069079,17.25144,".",".",".",".",".",".",".",".",".",".",".",".","."
"","Poisoning ","Poisoning ",25.719897,23.02085,28.12442,26.882814,27.695837,26.136171,".",".",".",".",".",".",".",".",".",".",".",".","."
