"","","","2013-14 ","2014-15 ","2015-16 ","2016-17 ","2017-18 ","2018-19 ","2019-20 (4)","2020-21 ","","","","2021-22 ","","","","2022-23 ","","",""
"","","",".",".",".",".",".",".",".","LHB and PHW total ",".",".","LHB and PHW total ","LHB and PHW total ",".",".","LHB and PHW total ","LHB and PHW total ",".",".","LHB and PHW total "
"","","",".",".",".",".",".",".",".","LHB primary ","LHB secondary ","LHB and PHW other ",".","LHB primary ","LHB secondary ","LHB and PHW other ",".","LHB primary ","LHB secondary ","LHB and PHW other ","."
"Total ","","",1867.24934,1927.955855,2035.853521,2152.064683,2204.336252,2275.281611,2420.843751,519.617749,2190.21114,57.244016,2767.072904,539.47392,2325.317612,71.602241,2936.393774,570.633339,2417.79688,60.457209,3048.887428
"Total ","Infectious diseases ","Infectious diseases ",25.318123,27.762749,30.992134,29.198583,51.402731,48.687783,47.06053,29.062747,98.280838,25.262151,152.605736,18.484092,105.620083,26.139283,150.243458,13.131084,83.250354,6.04317,102.424608
"","Cancers & tumours ","Cancers & tumours ",143.6117,143.224843,161.140164,168.365482,159.541916,165.49722,180.392829,10.502859,219.684762,0,230.187621,10.228882,217.729264,0,227.958146,10.113243,229.664548,0,239.77779
"","Blood disorders ","Blood disorders ",15.583283,15.860631,16.202722,20.187886,19.041849,20.862793,26.642371,1.871118,31.284124,0,33.155242,1.930068,34.394046,0,36.324113,2.061595,33.38363,0,35.445225
"","Endocrine, nutritional & metabolic problems ","",68.591188,73.065644,76.370491,80.513348,80.72083,91.526395,96.617203,60.359948,51.127483,0,111.487431,63.757651,63.466307,0,127.223958,70.883777,71.32668,0,142.210457
"","Endocrine, nutritional & metabolic problems ","Diabetes ",35.630978,35.339751,39.383996,41.507627,41.38256,46.631575,50.476866,37.558084,16.271402,0,53.829486,41.112787,18.519599,0,59.632386,45.700833,23.180518,0,68.88135
"","","Other endocrine, nutritional and metabolic problems ",32.96021,37.725893,45.963332,39.005721,39.33827,44.89482,46.140337,22.801865,34.856081,0,57.657946,22.644864,44.946709,0,67.591572,25.182945,48.146162,0,73.329107
"","Mental health problems ","",199.237778,201.848776,200.922475,210.994434,217.974135,220.953096,237.451565,21.520022,244.77383,0,266.293852,18.72863,259.310624,0,278.039253,20.289043,280.391707,0,300.68075
"","Mental health problems ","General mental illness ",104.362965,103.784714,109.127936,103.90932,104.03477,108.517927,128.641534,4.219261,125.271084,0,129.490345,3.704604,132.871334,0,136.575939,3.772206,141.564266,0,145.336472
"","","Elderly mental illness ",54.442637,55.590527,51.953813,61.786169,62.91275,64.051207,58.562153,1.383546,80.212212,0,81.595757,1.083299,82.971817,0,84.055116,0.958669,86.806682,0,87.76535
"","","Child & adolescent mental health services ",12.387735,11.867695,12.184711,16.992148,17.108485,15.851988,20.574117,1.342459,20.701484,0,22.043942,1.429702,24.28486,0,25.714562,1.660735,30.615799,0,32.276534
"","","Other mental health problems ",28.044442,30.60584,27.656016,28.306797,33.91813,32.531974,29.673762,14.574756,18.589051,0,33.163807,12.511025,19.182612,0,31.693637,13.897433,21.404961,0,35.302394
"","Learning disability problems ","Learning disability problems ",63.638704,63.424324,62.134672,59.623606,61.445662,61.956462,74.251141,0.056521,76.587298,0,76.643819,0.180442,73.159992,0,73.340435,0.236431,74.866987,0,75.103418
"","Neurological system problems ","Neurological system problems ",82.253518,94.141561,95.872416,109.706799,99.653296,98.056269,98.931982,15.239371,94.739337,0,109.978708,15.01101,109.412996,0,124.424006,15.460009,108.111953,0,123.571962
"","Eye/vision problems ","Eye/vision problems ",40.561789,46.612594,49.521401,57.449358,62.177417,66.539726,62.408378,20.04245,46.993998,0,67.036448,20.977272,60.789805,0,81.767077,19.624392,50.472672,0,70.097065
"","Hearing problems ","Hearing problems ",5.998878,5.995977,9.360357,9.172591,9.962001,10.272838,10.512803,0.215135,8.354301,0,8.569436,0.205631,11.058012,0,11.263643,0.226366,11.911048,0,12.137415
"","Circulation problems ","",146.371511,149.256795,162.651416,164.953416,174.777949,192.080151,200.815382,49.026701,164.527159,0,213.55386,51.850253,188.295079,0,240.145332,55.020984,197.913841,0,252.934825
"","Circulation problems ","Coronary Heart Disease ",42.968601,38.197671,42.045729,41.377898,36.93932,39.11558,38.9252,6.715389,35.904713,0,42.620102,6.669057,38.435098,0,45.104155,6.917694,36.454335,0,43.372029
"","","Cerebrovascular disease ",27.48706,26.372739,30.092455,33.361845,27.806738,33.055901,33.002188,1.176707,34.832204,0,36.008911,1.160576,44.177614,0,45.338189,1.021826,51.91846,0,52.940286
"","","Other problems of circulation (1)",75.915851,84.686384,90.513231,90.213673,110.031892,119.90867,128.887995,41.134605,93.790242,0,134.924847,44.020621,105.682367,0,149.702988,47.081464,109.541046,0,156.62251
"","Respiratory problems ","Respiratory problems ",108.048306,117.60786,122.99557,131.95039,124.352848,128.000065,134.263991,35.792452,78.39526,0,114.187712,36.078855,106.374503,0,142.453358,38.618694,123.83041,0,162.449105
"","Dental problems ","Dental problems ",49.349872,48.825011,45.691477,50.686368,50.11174,49.713246,52.840601,43.801935,10.916389,0,54.718324,50.654225,9.618511,0,60.272737,51.461239,11.489684,0,62.950923
"","Gastro intestinal problems ","Gastro intestinal problems ",111.189207,120.418474,124.198135,125.705992,125.802366,134.287411,144.685613,26.46715,152.432046,0,178.899195,28.057218,160.484548,0,188.541767,31.262756,169.924325,0,201.187082
"","Skin problems ","Skin problems ",46.71099,48.777555,49.895889,53.744353,53.730193,56.723279,56.053016,9.032723,44.118896,0,53.151619,9.841025,53.832229,0,63.673254,10.727024,61.292303,0,72.019326
"","Musculo skeletal system problems (exc Trauma) ","Musculo skeletal system problems (exc Trauma) ",117.731213,126.028058,124.820063,135.60604,131.760501,143.427992,140.836712,11.24133,93.82812,0,105.069451,10.437856,117.512788,0,127.950644,9.734377,134.115085,0,143.849462
