"","","","2013-14 ","2014-15 ","2015-16 ","2016-17 ","2017-18 ","2018-19 ","2019-20 (4)","2020-21 ","","","","2021-22 ","","","","2022-23 ","","",""
"","","",".",".",".",".",".",".",".","LHB and PHW total ",".",".","LHB and PHW total ","LHB and PHW total ",".",".","LHB and PHW total ","LHB and PHW total ",".",".","LHB and PHW total "
"","","",".",".",".",".",".",".",".","LHB primary ","LHB secondary ","LHB and PHW other ",".","LHB primary ","LHB secondary ","LHB and PHW other ",".","LHB primary ","LHB secondary ","LHB and PHW other ","."
"Total ","","",1943.945333,2024.257989,2077.185026,2154.920507,2213.232983,2292.61532,2444.041741,558.357736,2113.616268,57.263285,2729.23729,561.667871,2296.780236,70.001903,2928.45001,578.621266,2373.866382,60.712517,3013.200165
"Total ","Infectious diseases ","Infectious diseases ",19.165145,18.755432,21.84153,26.39696,46.435555,34.884354,27.392603,17.797101,109.733334,25.270655,152.80109,10.003288,92.834538,25.55506,128.392886,11.491803,81.471605,6.06869,99.032098
"","Cancers & tumours ","Cancers & tumours ",113.530129,131.524955,160.161999,141.371008,143.121311,174.665375,171.217078,13.5791,153.987675,0,167.566775,10.203058,171.628832,0,181.83189,9.808457,205.837194,0,215.645651
"","Blood disorders ","Blood disorders ",15.29903,13.172236,21.355344,16.608687,13.90621,17.448749,18.750814,2.365685,18.694185,0,21.05987,2.166383,20.949938,0,23.116322,2.463351,21.098475,0,23.561826
"","Endocrine, nutritional & metabolic problems ","",77.647583,79.406576,81.608773,85.426136,80.867455,86.893325,89.311031,59.582581,38.830411,0,98.412992,70.152837,37.71094,0,107.863777,75.411319,50.206284,0,125.617603
"","Endocrine, nutritional & metabolic problems ","Diabetes ",36.273184,36.645157,38.661851,40.600032,38.631824,40.130783,43.233376,34.171834,7.053211,0,41.225044,42.172105,7.520571,0,49.692677,45.424397,6.97119,0,52.395587
"","","Other endocrine, nutritional and metabolic problems ",41.374399,42.76142,52.589512,44.826104,42.235631,46.762542,46.077655,25.410747,31.777201,0,57.187948,27.980732,30.190368,0,58.1711,29.986922,43.235094,0,73.222016
"","Mental health problems ","",200.064028,215.239936,258.615769,289.406627,320.605613,311.296929,307.889123,32.047225,377.832378,0,409.879603,19.084963,416.65071,0,435.735673,17.858169,408.291739,0,426.149908
"","Mental health problems ","General mental illness ",67.77899,82.869443,88.12305,89.885749,53.365982,44.281687,77.606595,4.507989,89.79986,0,94.307849,1.539992,100.139138,0,101.679129,1.116961,149.129895,0,150.246856
"","","Elderly mental illness ",82.187203,81.851465,81.634627,95.679418,85.25872,82.586856,106.583733,5.653219,127.51854,0,133.17176,1.645145,143.980827,0,145.625972,0.563015,104.739015,0,105.30203
"","","Child & adolescent mental health services ",10.334742,12.973324,29.944919,19.172959,8.232944,18.508259,27.543766,1.903895,26.638597,0,28.542492,1.246782,33.612091,0,34.858873,1.385038,28.493642,0,29.87868
"","","Other mental health problems ",39.763092,37.545704,58.913172,84.668501,173.747968,165.920127,96.155029,19.982122,133.875381,0,153.857502,14.653044,138.918654,0,153.571698,14.793155,125.929186,0,140.722341
"","Learning disability problems ","Learning disability problems ",35.504571,39.101373,21.521607,11.00652,15.750606,15.978817,9.484558,0.726417,21.840395,0,22.566812,0.324926,37.049728,0,37.374654,0.292085,58.738769,0,59.030854
"","Neurological system problems ","Neurological system problems ",97.869,105.951596,117.057794,112.237242,122.143875,106.377364,125.930108,18.450723,104.404353,0,122.855076,17.201549,108.458557,0,125.660106,17.283458,110.373517,0,127.656975
"","Eye/vision problems ","Eye/vision problems ",29.210082,32.632768,38.573933,34.035576,38.9948,38.904631,50.435451,15.120055,31.730281,0,46.850336,16.359288,39.235961,0,55.595249,18.776524,39.664054,0,58.440579
"","Hearing problems ","Hearing problems ",10.21988,12.196209,11.880209,11.373884,10.784145,10.543749,15.211866,0.499254,8.170704,0,8.669958,0.229477,13.57312,0,13.802597,0.249761,12.198739,0,12.4485
"","Circulation problems ","",179.051346,196.174902,205.162012,226.00371,212.155886,226.741489,244.406241,56.387121,257.541748,0,313.92887,60.408038,190.730165,0,251.138203,58.668123,229.565355,0,288.233477
"","Circulation problems ","Coronary Heart Disease ",41.482272,41.984448,36.359934,45.1104,39.848477,35.997609,41.711058,8.320705,36.938815,0,45.259521,8.861403,32.337586,0,41.198989,7.739192,36.762287,0,44.50148
"","","Cerebrovascular disease ",49.231229,50.326585,63.273577,57.67479,57.731606,61.180293,63.42261,4.114973,99.016019,0,103.130991,0.735359,60.723741,0,61.4591,0.580072,73.772927,0,74.352998
"","","Other problems of circulation (1)",88.337844,103.863869,105.528501,123.21852,114.575804,129.563587,139.272573,43.951444,121.586914,0,165.538358,50.811276,97.668838,0,148.480114,50.348858,119.030141,0,169.378999
"","Respiratory problems ","Respiratory problems ",147.480127,148.274468,148.403393,173.215909,171.14223,163.988987,156.142644,39.048346,110.410731,0,149.459077,41.296948,110.099934,0,151.396882,42.181026,144.357388,0,186.538415
"","Dental problems ","Dental problems ",58.76987,59.29713,64.36004,51.863658,57.974242,67.165866,70.100615,59.188031,21.131778,0,80.31981,62.790827,17.772728,0,80.563555,67.036922,19.436551,0,86.473472
"","Gastro intestinal problems ","Gastro intestinal problems ",107.007471,121.351906,129.559955,121.307531,110.779877,132.100824,142.237421,30.550622,118.359514,0,148.910136,32.153187,129.485246,0,161.638432,35.149747,132.161946,0,167.311693
"","Skin problems ","Skin problems ",38.935837,35.651212,35.573304,44.883939,37.196752,47.007153,36.68078,10.484123,35.196269,0,45.680392,10.976373,31.891274,0,42.867647,10.517228,40.035817,0,50.553045
"","Musculo skeletal system problems (exc Trauma) ","Musculo skeletal system problems (exc Trauma) ",110.096614,95.106954,99.810584,105.186712,91.89365,103.6455,170.935544,12.842513,60.072688,0,72.915201,15.591584,161.395201,0,176.986785,12.209462,105.778086,0,117.987548
