"","","","2013-14 ","2014-15 ","2015-16 ","2016-17 ","2017-18 ","2018-19 ","2019-20 (4)","2020-21 ","","","","2021-22 ","","","","2022-23 ","","",""
"","","",".",".",".",".",".",".",".","LHB and PHW total ",".",".","LHB and PHW total ","LHB and PHW total ",".",".","LHB and PHW total ","LHB and PHW total ",".",".","LHB and PHW total "
"","","",".",".",".",".",".",".",".","LHB primary ","LHB secondary ","LHB and PHW other ",".","LHB primary ","LHB secondary ","LHB and PHW other ",".","LHB primary ","LHB secondary ","LHB and PHW other ","."
"Total ","","",1807.387482,1874.566197,1984.750371,2076.871603,2104.409526,2166.629986,".",".",".",".",".",".",".",".",".",".",".",".","."
"Total ","Infectious diseases ","Infectious diseases ",26.873098,26.319906,27.694859,28.520472,45.748327,32.505155,".",".",".",".",".",".",".",".",".",".",".",".","."
"","Cancers & tumours ","Cancers & tumours ",137.259902,142.5079,151.182026,155.675689,161.651264,173.946663,".",".",".",".",".",".",".",".",".",".",".",".","."
"","Blood disorders ","Blood disorders ",13.13407,14.890197,17.496719,17.97094,22.663401,22.44345,".",".",".",".",".",".",".",".",".",".",".",".","."
"","Endocrine, nutritional & metabolic problems ","",63.213914,68.868459,71.557742,75.139335,73.724902,80.870979,".",".",".",".",".",".",".",".",".",".",".",".","."
"","Endocrine, nutritional & metabolic problems ","Diabetes ",30.809767,32.83113,34.231663,35.642315,37.021613,40.477498,".",".",".",".",".",".",".",".",".",".",".",".","."
"","","Other endocrine, nutritional and metabolic problems ",32.404147,36.037329,45.731878,39.497019,36.703289,40.393481,".",".",".",".",".",".",".",".",".",".",".",".","."
"","Mental health problems ","",219.631634,232.575176,234.970424,247.240377,245.46323,239.90534,".",".",".",".",".",".",".",".",".",".",".",".","."
"","Mental health problems ","General mental illness ",86.736909,107.24981,102.868168,88.52568,105.948601,108.733691,".",".",".",".",".",".",".",".",".",".",".",".","."
"","","Elderly mental illness ",71.628307,82.959867,87.38174,93.02108,84.361408,81.540999,".",".",".",".",".",".",".",".",".",".",".",".","."
"","","Child & adolescent mental health services ",7.715848,10.646958,9.955444,10.629666,10.288006,12.494147,".",".",".",".",".",".",".",".",".",".",".",".","."
"","","Other mental health problems ",53.550571,31.718542,34.765072,55.063951,44.865215,37.136502,".",".",".",".",".",".",".",".",".",".",".",".","."
"","Learning disability problems ","Learning disability problems ",36.432875,40.685123,46.677623,47.500055,49.208517,54.931626,".",".",".",".",".",".",".",".",".",".",".",".","."
"","Neurological system problems ","Neurological system problems ",79.782931,81.969285,93.492899,97.80908,91.977632,96.140786,".",".",".",".",".",".",".",".",".",".",".",".","."
"","Eye/vision problems ","Eye/vision problems ",42.107698,41.490671,43.99486,51.155514,52.450743,56.947344,".",".",".",".",".",".",".",".",".",".",".",".","."
"","Hearing problems ","Hearing problems ",8.974267,9.478539,11.717579,13.326746,13.752535,13.712471,".",".",".",".",".",".",".",".",".",".",".",".","."
"","Circulation problems ","",140.060262,144.188016,149.645536,151.979551,154.32053,164.854907,".",".",".",".",".",".",".",".",".",".",".",".","."
"","Circulation problems ","Coronary Heart Disease ",36.644119,36.52706,33.719378,33.995979,33.904891,33.974779,".",".",".",".",".",".",".",".",".",".",".",".","."
"","","Cerebrovascular disease ",30.253347,29.874137,30.082082,31.50773,29.600983,28.661498,".",".",".",".",".",".",".",".",".",".",".",".","."
"","","Other problems of circulation (1)",73.162796,77.786819,85.844076,86.475842,90.814656,102.218629,".",".",".",".",".",".",".",".",".",".",".",".","."
"","Respiratory problems ","Respiratory problems ",121.591302,133.081721,140.327398,149.341624,143.039442,141.074741,".",".",".",".",".",".",".",".",".",".",".",".","."
"","Dental problems ","Dental problems ",63.945579,64.184871,64.960654,64.599018,66.330887,70.523405,".",".",".",".",".",".",".",".",".",".",".",".","."
"","Gastro intestinal problems ","Gastro intestinal problems ",101.475493,106.92495,112.411626,128.674403,118.793291,127.728779,".",".",".",".",".",".",".",".",".",".",".",".","."
"","Skin problems ","Skin problems ",41.020049,40.220568,41.963672,45.015072,44.761886,43.973125,".",".",".",".",".",".",".",".",".",".",".",".","."
"","Musculo skeletal system problems (exc Trauma) ","Musculo skeletal system problems (exc Trauma) ",109.565541,110.255877,125.705891,132.431601,114.211571,116.160816,".",".",".",".",".",".",".",".",".",".",".",".","."
"","Trauma & injuries (inc burns) ","Trauma & injuries (inc burns) ",130.400102,141.974665,144.361179,145.599158,149.459492,155.73737,".",".",".",".",".",".",".",".",".",".",".",".","."
"","Genito Urinary system disorders (exc infertility) ","",97.321318,94.718777,102.833975,103.647119,98.497655,101.651315,".",".",".",".",".",".",".",".",".",".",".",".","."
"","Genito Urinary system disorders (exc infertility) ","Genital tract problems ",22.689625,20.674713,22.748465,24.662195,25.858276,24.787091,".",".",".",".",".",".",".",".",".",".",".",".","."
"","","Renal problems ",36.015069,33.362105,32.51376,33.632352,32.732257,32.385494,".",".",".",".",".",".",".",".",".",".",".",".","."
"","","Chronic renal failure (2)",0,0,0,0,0,0,".",".",".",".",".",".",".",".",".",".",".",".","."
"","","Sexually transmitted infections (2)",5.539946,5.857327,7.825663,6.602539,5.318742,5.344549,".",".",".",".",".",".",".",".",".",".",".",".","."
"","","Other problems of the genito urinary system ",33.076678,34.824631,39.746088,38.750034,34.58838,39.134181,".",".",".",".",".",".",".",".",".",".",".",".","."
"","Maternity & reproductive health ","Maternity & reproductive health ",56.378721,58.271314,59.444018,64.184971,72.969897,74.644514,".",".",".",".",".",".",".",".",".",".",".",".","."
"","Neonates ","Neonates ",17.228236,16.617172,14.519618,17.135063,20.372729,19.434951,".",".",".",".",".",".",".",".",".",".",".",".","."
"","Poisoning ","Poisoning ",21.338289,21.780198,24.822837,29.055783,24.713181,23.467839,".",".",".",".",".",".",".",".",".",".",".",".","."
