"","","","2013-14 ","2014-15 ","2015-16 ","2016-17 ","2017-18 ","2018-19 ","2019-20 (4)","2020-21 ","","","","2021-22 ","","","","2022-23 ","","",""
"","","",".",".",".",".",".",".",".","LHB and PHW total ",".",".","LHB and PHW total ","LHB and PHW total ",".",".","LHB and PHW total ","LHB and PHW total ",".",".","LHB and PHW total "
"","","",".",".",".",".",".",".",".","LHB primary ","LHB secondary ","LHB and PHW other ",".","LHB primary ","LHB secondary ","LHB and PHW other ",".","LHB primary ","LHB secondary ","LHB and PHW other ","."
"Total ","","",940765.065567,979846.998422,1043027.999662,1099803.203635,1119247.041439,1157517.737,".",".",".",".",".",".",".",".",".",".",".",".","."
"Total ","Infectious diseases ","Infectious diseases ",13987.743233,13757.572821,14554.230075,15102.95879,24331.613776,17365.81382,".",".",".",".",".",".",".",".",".",".",".",".","."
"","Cancers & tumours ","Cancers & tumours ",71445.288629,74489.73449,79449.32937,82437.749796,85975.517927,92930.65661,".",".",".",".",".",".",".",".",".",".",".",".","."
"","Blood disorders ","Blood disorders ",6836.427913,7783.195361,9194.893179,9516.475089,12053.711374,11990.36814,".",".",".",".",".",".",".",".",".",".",".",".","."
"","Endocrine, nutritional & metabolic problems ","",32903.537765,35997.956586,37605.095987,39789.884308,39211.179171,43205.15887,".",".",".",".",".",".",".",".",".",".",".",".","."
"","Endocrine, nutritional & metabolic problems ","Diabetes ",16036.822586,17161.028505,17989.457561,18874.316799,19690.241111,21625.02244,".",".",".",".",".",".",".",".",".",".",".",".","."
"","","Other endocrine, nutritional and metabolic problems ",16866.715179,18836.92808,24033.062487,20915.567509,19520.93806,21580.13643,".",".",".",".",".",".",".",".",".",".",".",".","."
"","Mental health problems ","",114320.6814,121568.440085,123481.8924,130925.64728,130551.582526,128168.9479,".",".",".",".",".",".",".",".",".",".",".",".","."
"","Mental health problems ","General mental illness ",45147.515398,56060.119109,54059.382335,46878.596976,56349.610863,58090.75676,".",".",".",".",".",".",".",".",".",".",".",".","."
"","","Elderly mental illness ",37283.321488,43363.620021,45920.939596,49259.127075,44868.289978,43563.11581,".",".",".",".",".",".",".",".",".",".",".",".","."
"","","Child & adolescent mental health services ",4016.183502,5565.228641,5231.794814,5628.91834,5471.758081,6674.973175,".",".",".",".",".",".",".",".",".",".",".",".","."
"","","Other mental health problems ",27873.661012,16579.472315,18269.775655,29159.004889,23861.923604,19840.10213,".",".",".",".",".",".",".",".",".",".",".",".","."
"","Learning disability problems ","Learning disability problems ",18963.712451,21266.358042,24530.07117,25153.559016,26171.943287,29347.11114,".",".",".",".",".",".",".",".",".",".",".",".","."
"","Neurological system problems ","Neurological system problems ",41527.892938,42845.837142,49132.482022,51794.602487,48919.039228,51363.02256,".",".",".",".",".",".",".",".",".",".",".",".","."
"","Eye/vision problems ","Eye/vision problems ",21917.519982,21687.422503,23120.222936,27089.300041,27896.347234,30424.00473,".",".",".",".",".",".",".",".",".",".",".",".","."
"","Hearing problems ","Hearing problems ",4671.204683,4954.489287,6157.833988,7057.151834,7314.395926,7325.860283,".",".",".",".",".",".",".",".",".",".",".",".","."
"","Circulation problems ","",72902.907187,75367.941137,78641.871596,80480.467131,82076.608194,88073.40426,".",".",".",".",".",".",".",".",".",".",".",".","."
"","Circulation problems ","Coronary Heart Disease ",19073.667151,19092.913487,17720.241038,18002.50275,18032.58775,18150.95773,".",".",".",".",".",".",".",".",".",".",".",".","."
"","","Cerebrovascular disease ",15747.200086,15615.390879,15808.765685,16684.855453,15743.519375,15312.34825,".",".",".",".",".",".",".",".",".",".",".",".","."
"","","Other problems of circulation (1)",38082.03995,40659.63677,45112.864874,45793.108929,48300.501068,54610.09828,".",".",".",".",".",".",".",".",".",".",".",".","."
"","Respiratory problems ","Respiratory problems ",63289.610293,69562.614242,73744.994584,79083.558166,76076.671684,75368.89818,".",".",".",".",".",".",".",".",".",".",".",".","."
"","Dental problems ","Dental problems ",33284.377108,33549.817223,34138.187826,34208.280588,35278.613014,37676.98823,".",".",".",".",".",".",".",".",".",".",".",".","."
"","Gastro intestinal problems ","Gastro intestinal problems ",52819.110388,55890.313028,59074.670036,68139.272996,63181.162087,68238.84485,".",".",".",".",".",".",".",".",".",".",".",".","."
"","Skin problems ","Skin problems ",21351.386632,21023.532307,22052.791008,23837.641429,23806.967383,23492.55396,".",".",".",".",".",".",".",".",".",".",".",".","."
"","Musculo skeletal system problems (exc Trauma) ","Musculo skeletal system problems (exc Trauma) ",57030.069163,57631.408656,66061.085454,70128.889317,60744.337931,62058.68364,".",".",".",".",".",".",".",".",".",".",".",".","."
"","Trauma & injuries (inc burns) ","Trauma & injuries (inc burns) ",67874.687251,74211.009447,75864.830972,77101.743071,79491.22648,83202.37856,".",".",".",".",".",".",".",".",".",".",".",".","."
"","Genito Urinary system disorders (exc infertility) ","",50656.816552,49510.07301,54041.413297,54886.124695,52386.765998,54307.01192,".",".",".",".",".",".",".",".",".",".",".",".","."
"","Genito Urinary system disorders (exc infertility) ","Genital tract problems ",11810.199312,10806.796774,11954.796014,13059.815899,13752.930859,13242.45394,".",".",".",".",".",".",".",".",".",".",".",".","."
"","","Renal problems ",18746.23954,17438.572412,17086.663448,17809.94451,17408.912818,17301.8852,".",".",".",".",".",".",".",".",".",".",".",".","."
"","","Chronic renal failure (2)",0,0,0,0,0,0,".",".",".",".",".",".",".",".",".",".",".",".","."
"","","Sexually transmitted infections (2)",2883.602933,3061.660157,4112.55005,3496.361409,2828.815513,2855.314869,".",".",".",".",".",".",".",".",".",".",".",".","."
"","","Other problems of the genito urinary system ",17216.774768,18203.043668,20887.403785,20520.002877,18396.106808,20907.35791,".",".",".",".",".",".",".",".",".",".",".",".","."
"","Maternity & reproductive health ","Maternity & reproductive health ",29345.74459,30458.765351,31239.079924,33989.022833,38809.623657,39878.68218,".",".",".",".",".",".",".",".",".",".",".",".","."
